"date","close","volume","open","high","low"
"2015/04/15","383.4500","1928677.0000","384.6500","385.7800","381.6400"
"2015/04/14","385.1100","2582297.0000","383.5100","387.8100","381.2101"
"2015/04/13","382.3600","1894399.0000","383.5300","385.2800","380.1400"
"2015/04/10","382.6500","2572177.0000","384.3100","387.1200","381.3151"
"2015/04/09","383.5400","2390424.0000","380.6600","384.4200","378.7950"
"2015/04/08","381.2000","2634857.0000","374.6600","381.5800","374.6500"
"2015/04/07","374.4100","1954217.0000","376.1500","379.3100","374.0300"
"2015/04/06","377.0400","3043772.0000","370.1000","380.2000","369.3600"
"2015/04/02","372.2500","1872952.0000","370.5000","373.2800","369.0000"
"2015/04/01","370.2550","2454130.0000","372.1000","373.1600","368.3400"
"2015/03/31","372.1000","2505578.0000","373.2400","377.7000","371.5100"
"2015/03/30","374.5900","1818704.0000","371.8700","376.1200","371.5500"
"2015/03/27","370.5600","2606063.0000","367.1100","373.1700","366.5734"
"2015/03/26","367.3500","2929557.0000","369.5900","371.4000","365.6500"
"2015/03/25","370.9600","3426602.0000","375.1700","380.5000","370.2850"
"2015/03/24","374.0900","2225222.0000","373.9900","375.2400","372.2700"
"2015/03/23","375.1100","2238723.0000","378.0700","381.7700","374.9400"
"2015/03/20","378.4900","3752350.0000","376.2900","379.3700","375.9200"
"2015/03/19","373.2400","1912973.0000","373.8700","377.1100","372.1900"
"2015/03/18","375.1350","2645003.0000","369.9700","375.9900","366.7000"
"2015/03/17","371.9200","2036686.0000","371.1100","374.5000","369.6400"
"2015/03/16","373.3500","2352852.0000","370.3800","373.9400","366.7200"
"2015/03/13","370.5800","2610510.0000","371.5200","373.9900","366.6800"
"2015/03/12","374.2400","2809715.0000","368.8200","375.5000","367.5200"
"2015/03/11","366.3700","2490279.0000","370.6100","373.3500","366.2600"
"2015/03/10","369.5100","3111285.0000","377.4500","377.7700","369.1800"
"2015/03/09","378.5600","2311182.0000","378.4000","379.3300","375.2800"
"2015/03/06","380.0900","2625962.0000","385.5200","387.0000","378.8800"
"2015/03/05","387.8300","2688444.0000","385.6100","388.4182","383.8900"
"2015/03/04","382.7200","2255869.0000","385.7100","387.9000","382.1900"
"2015/03/03","384.6100","1945787.0000","383.9500","386.1000","381.6010"
"2015/03/02","385.6550","2134110.0000","380.8500","385.9000","379.4810"
"2015/02/27","380.1600","2523659.0000","384.0000","385.9900","379.7900"
"2015/02/26","384.8000","2684823.0000","384.0700","389.3700","383.2800"
"2015/02/25","385.3700","3167481.0000","377.2700","387.8500","376.5400"
"2015/02/24","378.5900","1920509.0000","378.6500","380.4800","376.1600"
"2015/02/23","380.1400","2175306.0000","383.4400","384.5400","378.0000"
"2015/02/20","383.6600","3219724.0000","378.6200","383.7000","375.8400"
"2015/02/19","378.9950","2948520.0000","373.4900","381.8800","373.4300"
"2015/02/18","373.3700","2648954.0000","373.7800","376.7400","372.8500"
"2015/02/17","375.4300","3662187.0000","377.7200","379.9850","372.6700"
"2015/02/13","381.8300","3472891.0000","378.4100","383.0000","377.0100"
"2015/02/12","377.1700","2790630.0000","375.1000","378.5100","373.1500"
"2015/02/11","375.1400","2785533.0000","371.2300","377.1000","371.1000"
"2015/02/10","372.9950","2286489.0000","371.1900","374.3000","368.5100"
"2015/02/09","370.5600","2675316.0000","371.0000","374.4100","367.2000"
"2015/02/06","374.2800","3888587.0000","374.8700","375.9899","371.0100"
"2015/02/05","373.8900","7243644.0000","366.0000","378.8000","365.9000"
"2015/02/04","364.7500","4167409.0000","358.3800","367.5000","358.2300"
"2015/02/03","363.5500","6209015.0000","360.2900","367.8170","360.2100"
"2015/02/02","364.4700","10222230.0000","350.0500","365.0000","350.0100"
"2015/01/30","354.5300","23846720.0000","346.3200","359.5000","340.7400"
"2015/01/29","311.7800","8067441.0000","304.7300","312.8000","299.3300"
